split_mode,metric,baseline,proposed,n_seeds,baseline_mean,proposed_mean,improvement_abs,improvement_pct,ci95_low,ci95_high,ci_excludes_zero,p_paired,p_welch,cohens_dz,hedges_g,recommended_test,p_paired_holm,p_welch_holm,p_recommended,p_recommended_holm,significant_holm
chrono,MAE,lstm,zone_full,2,0.24793129414319992,0.25286702811717987,-0.004935733973979936,-1.9907668336249476,-0.028170911757890712,0.01829944380993084,False,0.2258805158632071,0.07090754021124228,-1.9085634178431605,-2.1601778159323928,paired,1.0,0.8508904825349073,0.2258805158632071,1.0,False
chrono,RMSE,lstm,zone_full,2,0.30174337327480316,0.2905907034873962,0.01115266978740695,3.696077785028939,-0.019255453336892818,0.041560792911706716,False,0.13456701048445774,0.12150076237846653,3.2952629815856387,2.8887123054138777,paired,1.0,1.0,0.13456701048445774,1.0,False
chrono,MAPE,lstm,zone_full,2,18.61560642719269,19.654634594917297,-1.0390281677246076,-5.581489766601696,-4.148380548341365,2.07032421289215,False,0.14725280503431498,0.10669053273130022,-3.002328640846558,-2.9044242835083462,paired,1.0,1.0,0.14725280503431498,1.0,False
chrono,WAPE,lstm,zone_full,2,19.347026663289547,19.732181642703146,-0.3851549794136009,-1.990770913364284,-2.198287549091104,1.427977590263902,False,0.22588041395100422,0.0709077105020061,-1.9085643556982808,-2.160178313352561,paired,1.0,0.8508904825349073,0.22588041395100422,1.0,False
chrono,MAE,lstm,zone_full_tc,2,0.24793129414319992,0.24698805809020996,0.0009432360529899458,0.3804425158387438,-0.06148834055951857,0.06337481266549846,False,0.87925741408456,0.8490267805556275,0.13574284300607933,0.13444290705017037,paired,1.0,1.0,0.87925741408456,1.0,False
chrono,RMSE,lstm,zone_full_tc,2,0.30174337327480316,0.28910069167613983,0.012642681598663302,4.189878790527533,-0.018140518528613512,0.04342588172594011,False,0.12053290633110496,0.17990256340174268,3.6899993172931853,1.412085628589069,paired,1.0,1.0,0.12053290633110496,1.0,False
chrono,MAPE,lstm,zone_full_tc,2,18.61560642719269,18.9230851829052,-0.30747875571250916,-1.6517257007720172,-5.41209500252308,4.797137491098062,False,0.5841207548627835,0.39225474385393116,-0.5411938684900613,-0.6184888276472348,paired,1.0,1.0,0.5841207548627835,1.0,False
chrono,WAPE,lstm,zone_full_tc,2,19.347026663289547,19.273421595777386,0.07360506751216356,0.3804464055028526,-4.798169911848522,4.945380046872849,False,0.8792562185669719,0.8490251881709557,0.13574421982832785,0.13444434828354446,paired,1.0,1.0,0.8792562185669719,1.0,False
chrono,MAE,lstm,zone_full_sinc,2,0.24793129414319992,0.248963788151741,-0.0010324940085410933,-0.41644360067944725,-0.0763702411954967,0.07430525317841451,False,0.8902416126127715,0.8680760954056541,-0.12313336889068123,-0.11807316256594716,paired,1.0,1.0,0.8902416126127715,1.0,False
chrono,RMSE,lstm,zone_full_sinc,2,0.30174337327480316,0.2925007790327072,0.009242594242095947,3.0630645312228775,-0.008992093290858857,0.027477281775050752,False,0.09806511125378303,0.11912948966983271,4.554035512094021,2.2706829252539404,paired,1.0,1.0,0.09806511125378303,1.0,False
chrono,MAPE,lstm,zone_full_sinc,2,18.61560642719269,19.06963363289833,-0.45402720570563915,-2.438960060105376,-7.673312827002878,6.7652584155916,False,0.5707943980855277,0.41962427426990984,-0.565052113342589,-0.6188141925364496,paired,1.0,1.0,0.5707943980855277,1.0,False
chrono,WAPE,lstm,zone_full_sinc,2,19.347026663289547,19.42759549529361,-0.08056883200406162,-0.4164403833532662,-5.95946537886932,5.7983277148611965,False,0.8902425195667533,0.8680771134637392,-0.123132330971129,-0.11807221512467267,paired,1.0,1.0,0.8902425195667533,1.0,False
