split_mode,variant,n_runs,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,n_params
random_fixed,baseline_ahgnn,10,0.20317146778106684,0.03229982665666596,0.33204554617404936,0.09647122565660665,15.358337834477425,2.4363573003888495,250243
random_fixed,zone_concat,10,0.07844126299023627,0.005615888093814506,0.13402667641639704,0.0058505782800986365,5.831706672906876,0.38743659362077376,358452
random_fixed,zone_weight,10,0.09323386028409002,0.012020329627795697,0.15261085629463192,0.015822516153435474,6.893820948898792,0.8056761405763331,358452
random_fixed,zone_full,10,0.09177876040339468,0.01031936299481123,0.14670424163341517,0.01197901227936937,6.905526705086231,0.7403333138611518,358452
random_fixed,zone_full_tc,10,0.08236321806907648,0.007665259884260174,0.1399205103516578,0.011314347603288356,6.170578375458717,0.5361346030258362,358788
random_fixed,zone_full_sinc,10,0.08011106029152866,0.0038138682125331332,0.13643457591533656,0.005109727488049598,5.989342965185642,0.26487353237695727,361428
random_fixed,lstm,10,0.22492714077234263,0.010520602081189824,0.32998216450214385,0.027513676646154554,15.724563151597977,0.5747263726897949,623027
random_fixed,gcn_gru,10,0.09357204809784885,0.0017470723755295323,0.16507362723350522,0.0037276200331455667,6.604733243584633,0.16617274736469353,32707
random_fixed,stgcn,10,0.0948423951864242,0.003755201527755733,0.16810386329889293,0.006013619707659857,6.629211828112602,0.29571856786206696,32579
random_paired,baseline_ahgnn,10,0.2026406154036522,0.04081478199066717,0.3854286357760429,0.23320875548024603,15.505978167057037,3.1717709978573896,250243
random_paired,zone_concat,10,0.08278684169054026,0.012461994345340685,0.14621677622199056,0.017785606433699194,6.175287775695324,0.8831567495228867,358452
random_paired,zone_weight,10,0.0978323251008987,0.009465739069023434,0.16658255457878107,0.01952168755443156,7.175511680543423,0.6411468712967826,358452
random_paired,zone_full,10,0.09525540396571155,0.00906818689241897,0.15870928615331648,0.014413741342449873,7.130666822195053,0.6783939623603923,358452
random_paired,zone_full_tc,10,0.08738961964845654,0.009952258044264063,0.150623919814825,0.016209378470306783,6.5581294894218445,0.7284832350728815,358788
random_paired,zone_full_sinc,10,0.08405096605420107,0.010936844030497854,0.14766954556107517,0.01670147721033988,6.2765442207455635,0.7470524101023206,361428
random_paired,lstm,10,0.2119498774409294,0.0155750511146054,0.3014067202806473,0.02174413212984278,15.345824956893921,1.15721241680863,623027
random_paired,gcn_gru,10,0.09409108087420459,0.008512965023569026,0.17913314700126642,0.01392430725850137,6.647396869957447,0.6660881090621374,32707
random_paired,stgcn,10,0.09511762931942935,0.007801237204389775,0.1806682169437408,0.011997740002350696,6.670524142682552,0.6354815847630078,32579
