zone_type,n_nodes,baseline_ahgnn,zone_concat,zone_weight,zone_full
commercial,13,0.264498770236969,0.2491266429424286,0.257182776927948,0.25106096267700195
residential,13,0.2679296135902405,0.25134390592575073,0.25927698612213135,0.2528364360332489
industrial,3,0.2759334444999695,0.2573966681957245,0.26476725935935974,0.2576974630355835
school,8,0.2645217776298523,0.2506507933139801,0.2586408853530884,0.25262004137039185
university,4,0.27158111333847046,0.2536986768245697,0.26108843088150024,0.2544116973876953
hospital,4,0.26183637976646423,0.24822114408016205,0.25668713450431824,0.250169038772583
transport,10,0.2639732360839844,0.25047460198402405,0.2583886981010437,0.25240230560302734
park,4,0.2584279477596283,0.24957464635372162,0.2574721872806549,0.24922290444374084
