split_mode,metric,baseline,proposed,n_seeds,baseline_mean,baseline_std,proposed_mean,proposed_std,improvement_abs,improvement_pct,ci95_low,ci95_high,ci_excludes_zero,wins,t_paired,p_paired_2sided,p_paired_1sided,t_welch,p_welch_2sided,p_welch_1sided,p_wilcoxon_2sided,p_wilcoxon_1sided,p_floor_wilcoxon_2sided,cohens_dz_paired,hedges_g_indep,recommended_test,p_paired_holm,p_welch_holm,p_recommended,p_recommended_holm,significant_holm
chrono,MAE,lstm,zone_full_tc,5,0.24820044338703157,0.0027817364842169083,0.24988998770713805,0.0046387359884214035,-0.0016895443201065008,-0.6807176881114223,-0.007231663485500993,0.0038525748452879916,False,1,-0.8464139650523961,0.44498821152207135,0.7775058942389643,-0.6984698125488233,0.5089219145903473,0.7455390427048263,0.625,0.78125,0.0625,-0.37852783259245776,-0.39900099075292844,welch,0.8899764230441427,1.0,0.5089219145903473,1.0,False
chrono,RMSE,lstm,zone_full_tc,5,0.2999871432781219,0.002741780640552956,0.2974747359752655,0.010870925058840368,0.002512407302856423,0.8375049928480228,-0.01177989528476575,0.016804709890478595,False,3,0.4880641810872433,0.6510497603401976,0.3255248801700988,0.5010916106755625,0.6398052841385856,0.3199026420692928,0.8125,0.40625,0.0625,0.21826893725876867,0.2862486617538027,welch,0.8899764230441427,1.0,0.6398052841385856,1.0,False
chrono,MAPE,lstm,zone_full_tc,5,18.73642474412918,0.40281418926754786,19.198716580867767,0.36527813850567026,-0.4622918367385864,-2.4673428525014605,-0.9177363191051896,-0.00684735437198325,False,1,-2.8181874124727875,0.047916299775789005,0.9760418501121055,-1.9010118550671264,0.09417037953109884,0.9529148102344506,0.125,0.96875,0.0625,-1.2603317255246784,-1.085953322502146,welch,0.287497798654734,0.47085189765549423,0.09417037953109884,0.47085189765549423,False
chrono,MAE,lstm,zone_full_sinc,5,0.24820044338703157,0.0027817364842169083,0.25095121264457704,0.0028865001985749258,-0.00275076925754546,-1.1082853922448663,-0.007397907871351628,0.0018963693562607077,False,1,-1.6434542791452047,0.1756339205645504,0.9121830397177249,-1.5343767866695999,0.1635336383036673,0.9182331808481663,0.1875,0.9375,0.0625,-0.7349750972163185,-0.8765129817642202,welch,0.5269017616936512,0.6541345532146692,0.1635336383036673,0.6541345532146692,False
chrono,RMSE,lstm,zone_full_sinc,5,0.2999871432781219,0.002741780640552956,0.2978057563304901,0.004051451956132059,0.002181386947631836,0.7271601455297849,-0.0008017155341121587,0.0051644894293758304,False,4,2.0302692081010862,0.11217832777157008,0.05608916388578504,0.9970837230338969,0.35180491821656956,0.17590245910828478,0.125,0.0625,0.0625,0.9079639923877392,0.5695842342883422,welch,0.4487133110862803,1.0,0.35180491821656956,1.0,False
chrono,MAPE,lstm,zone_full_sinc,5,18.73642474412918,0.40281418926754786,19.561791121959686,0.5403643978086072,-0.8253663778305054,-4.405143399031469,-1.7247608150776772,0.07402805941666646,False,0,-2.5479192941601054,0.06344529231181713,0.9682773538440914,-2.738311786607825,0.02748253053484221,0.9862587347325789,0.0625,1.0,0.0625,-1.1394641485850556,-1.5642610406596082,welch,0.3172264615590856,0.16489518320905328,0.02748253053484221,0.16489518320905328,False
