variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,WAPE,MAE_1,RMSE_1,MAPE_1,WAPE_1,MAE_2,RMSE_2,MAPE_2,WAPE_2,MAE_3,RMSE_3,MAPE_3,WAPE_3,MAE_4,RMSE_4,MAPE_4,WAPE_4,MAE_5,RMSE_5,MAPE_5,WAPE_5,MAE_6,RMSE_6,MAPE_6,WAPE_6,MAE_7,RMSE_7,MAPE_7,WAPE_7,MAE_8,RMSE_8,MAPE_8,WAPE_8,MAE_9,RMSE_9,MAPE_9,WAPE_9,MAE_10,RMSE_10,MAPE_10,WAPE_10,MAE_11,RMSE_11,MAPE_11,WAPE_11,MAE_12,RMSE_12,MAPE_12,WAPE_12,MAE_13,RMSE_13,MAPE_13,WAPE_13,MAE_14,RMSE_14,MAPE_14,WAPE_14,MAE_15,RMSE_15,MAPE_15,WAPE_15,MAE_16,RMSE_16,MAPE_16,WAPE_16,MAE_17,RMSE_17,MAPE_17,WAPE_17,MAE_18,RMSE_18,MAPE_18,WAPE_18,MAE_19,RMSE_19,MAPE_19,WAPE_19,MAE_20,RMSE_20,MAPE_20,WAPE_20,MAE_21,RMSE_21,MAPE_21,WAPE_21,MAE_22,RMSE_22,MAPE_22,WAPE_22,MAE_23,RMSE_23,MAPE_23,WAPE_23,MAE_24,RMSE_24,MAPE_24,WAPE_24,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,commit,timestamp
zone_full_tc,42,chrono,-1,0.2508592903614044,0.2937208414077759,19.12550777196884,19.57550841732428,0.1470232605934143,0.1699364483356475,13.387353718280792,12.430788441585555,0.1042790487408638,0.1662025451660156,8.39354693889618,8.728906827595942,0.1265717595815658,0.1976905465126037,10.277647525072098,10.4906906766544,0.2015681713819503,0.2290283590555191,17.088857293128967,16.543169755414915,0.1925862729549408,0.2391231507062912,15.534348785877228,15.650494552216465,0.2312703281641006,0.2685316801071167,17.848193645477295,18.612303012119646,0.23177470266819,0.2699240446090698,18.27355474233628,18.47402502270328,0.2420539408922195,0.2838220298290252,18.54887008666992,19.11099992893479,0.249926209449768,0.3038455247879028,19.41809803247452,19.54874454324449,0.2931290566921234,0.3246257305145263,22.574149072170258,22.714540766686817,0.2845385670661926,0.322372704744339,21.05501294136048,21.84643319136889,0.2942903637886047,0.3246427178382873,22.90069162845612,22.39064203344326,0.2942000329494476,0.3322378098964691,21.855023503303528,22.38312024762896,0.2999846041202545,0.3359042704105377,21.99917882680893,22.821524178309577,0.2929745614528656,0.3222975134849548,21.92874252796173,22.288905878107705,0.2654847204685211,0.3018966317176819,19.80450600385666,20.19667022462641,0.2830938994884491,0.3226194679737091,21.109484136104584,21.53605437663508,0.30335134267807,0.3421772718429565,22.17262387275696,23.07628728386113,0.2788514196872711,0.3137035369873047,20.668303966522217,21.21318425970609,0.296964168548584,0.3300478160381317,22.09143042564392,22.59206807374236,0.2814350724220276,0.3181273639202118,21.43840193748474,21.410896921680507,0.2646150588989258,0.3020347654819488,19.00581568479538,20.13119215251191,0.286703884601593,0.3168982863426208,21.17259055376053,21.811823317829003,0.2739519476890564,0.3052364587783813,20.46581655740738,20.84347211699033,0.247457668185234,0.2500210106372833,0.2583715915679931,0.2492737025022506,0.2536666393280029,0.2461304366588592,0.2487828135490417,0.2482809126377105,0.2499605566263198,0.2488895207643509,17,359481,5.6,cpu,ok,9b1dc06,2026-09-22T19:54:09
zone_full_tc,43,chrono,-1,0.2431167811155319,0.2844805419445038,18.72066259384156,18.97133160852325,0.126330479979515,0.1538930684328079,11.207328736782074,10.681217669540535,0.1107896566390991,0.1666499823331833,8.920266479253769,9.273891247693811,0.1975432187318802,0.2198610454797744,17.19570904970169,16.373043284010176,0.1507388800382614,0.2233149856328964,11.89478561282158,12.371491294209326,0.1813930720090866,0.2331658750772476,14.818033576011658,14.740881117720086,0.2121453285217285,0.2749741375446319,16.003765165805817,17.07315072418783,0.2403082400560379,0.2808674871921539,20.37324160337448,19.15420534576724,0.2248112857341766,0.2674615085124969,18.01478564739228,17.74963202135995,0.2610282599925995,0.294843465089798,20.2456071972847,20.417124556610776,0.2876218855381012,0.3286803960800171,21.31229341030121,22.28778914249655,0.2676818072795868,0.3044090569019317,20.00504583120346,20.55219803102809,0.2652864754199981,0.3108881115913391,20.17660140991211,20.183923783154125,0.2896587550640106,0.3198976218700409,21.504363417625427,22.037613988772563,0.2759998738765716,0.3027230203151703,21.327601373195648,20.99687117277267,0.276705801486969,0.3056707978248596,21.39623314142227,21.051211893391248,0.2761144638061523,0.3092141151428222,20.835889875888824,21.005323836725232,0.2784697711467743,0.3048505485057831,21.218103170394897,21.18427895442993,0.2741945683956146,0.3069102764129638,21.53880000114441,20.85829860468752,0.2698535323143005,0.2986688911914825,19.978244602680206,20.528682513598543,0.2832724452018738,0.3225579261779785,20.363250374794006,21.55044480834232,0.2804900109767914,0.3106651604175567,21.406368911266327,21.33899819627062,0.2587563395500183,0.2903593182563782,19.532446563243862,19.68547780542707,0.2699880003929138,0.2972427308559418,19.79778707027436,20.540115073458004,0.2756211161613464,0.3088442683219909,20.229366421699524,20.97046889177734,0.2401609569787979,0.2424554824829101,0.2497357726097107,0.24199740588665,0.2454105913639068,0.2395868003368377,0.2410519570112228,0.2409414052963256,0.2423572391271591,0.2407728135585785,17,359481,5.7,cpu,ok,9b1dc06,2026-09-22T19:54:15
zone_full_sinc,42,chrono,-1,0.2538507580757141,0.2932631373405456,19.4384828209877,19.808944503183,0.1272801458835601,0.1524101495742797,10.949178785085678,10.761511720906237,0.1456222832202911,0.1773770004510879,12.600348889827728,12.189632201029216,0.15511454641819,0.1917910575866699,13.27025145292282,12.856413254570098,0.1988702416419983,0.221383512020111,17.27631539106369,16.321744326125433,0.2191905826330185,0.2431758791208267,19.07181888818741,17.812490202223216,0.2255931794643402,0.2596946060657501,17.93687790632248,18.155414007352725,0.2244016975164413,0.2788729965686798,17.305588722229004,17.88634605143589,0.2461016029119491,0.2910048365592956,18.83171796798706,19.43057645241323,0.2752162516117096,0.2932265400886535,21.781325340271,21.52688214710634,0.2820970118045807,0.3651817142963409,19.97778564691544,21.85966767673826,0.2761795818805694,0.3115505874156952,20.678432285785675,21.20464305174324,0.293844997882843,0.339630126953125,21.335038542747498,22.35675595123854,0.3025251924991607,0.334882378578186,22.65660166740417,23.01650865022525,0.2906722128391266,0.315854549407959,22.260096669197083,22.113077659981087,0.29124316573143,0.3162312507629394,22.015027701854702,22.15718385354732,0.3145357370376587,0.3528905510902405,23.143911361694336,23.92820990977872,0.2759162187576294,0.3047661185264587,20.736782252788544,20.990019890065422,0.3165394961833954,0.352952778339386,23.393738269805908,24.079525729018403,0.2896886467933655,0.3218713700771332,21.598321199417114,22.0376078767692,0.2724958956241607,0.3023724555969238,20.3386589884758,20.730600817703028,0.2866438627243042,0.3150151669979095,21.73350304365158,21.807167437732623,0.2544553279876709,0.2873732149600982,18.49319636821747,19.35826823547582,0.2654247283935547,0.3006071746349334,19.57368552684784,20.1929507525956,0.2627655565738678,0.2858249545097351,19.56536620855332,19.99236292370723,0.2505788803100586,0.2531679272651672,0.2616273462772369,0.2527691125869751,0.2569013237953186,0.2499351501464843,0.2518487572669983,0.2511460185050964,0.2530043423175812,0.2522154450416565,17,362121,6.7,cpu,ok,9b1dc06,2026-09-22T19:54:22
zone_full_sinc,43,chrono,-1,0.2440768182277679,0.2917384207248688,18.70078295469284,19.04624648740422,0.1417545527219772,0.1606249809265136,12.463819980621338,11.98532006991316,0.1225713491439819,0.1710719168186187,10.022569447755814,10.260103832958343,0.1374157816171646,0.196215882897377,11.27290353178978,11.389480342818754,0.1469730287790298,0.2201820909976959,11.24417409300804,12.062418143087095,0.1699831634759903,0.2382891327142715,13.28250914812088,13.813656670670124,0.2206412404775619,0.2640857696533203,17.570820450782776,17.75688892627084,0.2048714458942413,0.2400414049625396,16.530980169773102,16.329651031475418,0.2464659661054611,0.289957731962204,19.01424527168274,19.459344741554645,0.247705802321434,0.2914915978908539,19.02664303779602,19.37506758861676,0.2722424864768982,0.3297244906425476,19.93430256843567,21.096041124697155,0.2867583632469177,0.3194325864315033,21.79567962884903,22.01686690319644,0.2884304821491241,0.3165034651756286,22.24038988351822,21.94480091921633,0.2702204585075378,0.3029487729072571,21.89512699842453,20.558723123714167,0.2877997159957886,0.3425637185573578,20.72644382715225,21.89455140762094,0.2996045649051666,0.3499162197113037,21.58683836460113,22.793303664590542,0.2684295177459717,0.3110047876834869,19.77422684431076,20.420693384671555,0.2896856665611267,0.3297865092754364,22.55289852619171,22.03751570587009,0.2779728472232818,0.3203554153442383,22.49474376440048,21.14571651520633,0.2953039407730102,0.3243121206760406,22.258608043193817,22.464782629417343,0.2877345383167267,0.3216568827629089,21.60015851259232,21.88990746418383,0.2990401685237884,0.328948974609375,23.178620636463165,22.750248813258896,0.2695671319961548,0.3131611049175262,19.53427344560623,20.507931582875035,0.2663154900074005,0.3063111007213592,19.23377960920334,20.26071790949573,0.2603551745414734,0.2967894077301025,19.584031403064728,19.80896892280671,0.2408347725868225,0.2434657365083694,0.2513127326965332,0.2428078949451446,0.2469174414873123,0.2401372194290161,0.241988718509674,0.2419068664312362,0.243245393037796,0.2420655041933059,17,362121,6.2,cpu,ok,9b1dc06,2026-09-22T19:54:28
zone_full,42,chrono,-1,0.2536534368991852,0.2903949916362762,19.700026512146,19.793548086041813,0.2057744413614273,0.2226648926734924,18.09083819389344,17.39819052818058,0.2162957489490509,0.2409492135047912,19.410771131515503,18.10551073788555,0.1997133791446685,0.2275237590074539,17.68510639667511,16.55291306056012,0.1941446363925933,0.2334467619657516,16.018472611904144,15.9339020957237,0.1963719874620437,0.2420992255210876,16.066746413707733,15.958140211668692,0.2106625884771347,0.2498909831047058,17.591217160224915,16.953821170549023,0.2331559509038925,0.262565940618515,18.7625914812088,18.58411986872167,0.2647187709808349,0.289907842874527,20.68391442298889,20.900467749083138,0.253105491399765,0.2881976962089538,19.34029459953308,19.797422421267484,0.2663066685199737,0.2969188392162323,20.60904949903488,20.63607614737642,0.2484183460474014,0.2874575853347778,19.11021322011948,19.07317859220053,0.2464546412229538,0.2992396354675293,17.53270924091339,18.751131426465065,0.2966082692146301,0.3263470530509949,22.53292500972748,22.56634238684361,0.2808659970760345,0.3087738454341888,21.76232784986496,21.367063551238594,0.2679023444652557,0.3048840165138244,20.04415690898896,20.38146309416046,0.2572863698005676,0.3081759512424469,18.53047609329224,19.57298200679945,0.2787923812866211,0.3145187199115753,20.58547586202621,21.20882115660157,0.2820420265197754,0.3199764788150787,21.00430577993393,21.455263970753023,0.2778547406196594,0.3130517303943634,20.9265410900116,21.13736151651305,0.2964903712272644,0.3277865052223205,22.274839878082275,22.556023039022545,0.2760924994945526,0.3043485879898071,21.509136259555817,21.00444609609706,0.2686587572097778,0.3156015872955322,19.915905594825745,20.43882472541054,0.2974622249603271,0.3225365281105041,22.663865983486176,22.630295298524665,0.272503912448883,0.3158744871616363,20.14879435300827,20.73329820741008,0.2503531873226166,0.2528848052024841,0.2611801624298095,0.2522881627082824,0.2558483481407165,0.2494214624166488,0.2516258060932159,0.2504279613494873,0.2527226507663727,0.2515904307365417,17,359145,2.1,cpu,ok,9b1dc06,2026-09-22T19:54:30
zone_full,43,chrono,-1,0.2520806193351745,0.2907864451408386,19.6092426776886,19.670815199364483,0.1233700960874557,0.1567686200141906,10.369539260864258,10.43091809751004,0.1601146608591079,0.1893441677093505,13.979558646678925,13.402748757153688,0.1587609946727752,0.1998864859342575,13.491739332675934,13.158642394011077,0.2068786472082138,0.2319680750370025,17.30673313140869,16.979012342210538,0.2265641689300537,0.2606948912143707,17.99212247133255,18.41170351352785,0.2505017220973968,0.2901996970176697,19.028085470199585,20.160018280589604,0.2110630869865417,0.2478488683700561,17.313213646411896,16.823167400199512,0.235953539609909,0.2965759336948395,17.25466698408127,18.62935239420716,0.2644505202770233,0.3102146089076996,20.46818435192108,20.68480701581934,0.2413909882307052,0.285328060388565,18.848414719104767,18.705362262356555,0.2814697325229645,0.3026787638664245,22.721584141254425,21.61081337958061,0.286548763513565,0.3227227628231048,21.39989733695984,21.80163349511803,0.2766380906105041,0.3200372457504272,22.2468450665474,21.046985239844457,0.284278005361557,0.3122569918632507,21.79388850927353,21.62663407428396,0.2866569459438324,0.3225056231021881,22.53555208444596,21.808273842018707,0.292116641998291,0.3282745778560638,22.4733829498291,22.22268361322614,0.2961604297161102,0.3351818919181824,21.454502642154694,22.530077217378995,0.277016282081604,0.302140325307846,21.500706672668457,21.07294894213541,0.2892144918441772,0.3162344098091125,21.913397312164307,22.001536638295534,0.2723017930984497,0.2923571467399597,20.69281190633773,20.71583513079848,0.2890432178974151,0.3258845806121826,22.21671789884568,21.9897046930809,0.2720551192760467,0.2942159175872803,20.571237802505493,20.69721099475677,0.2864349484443664,0.3208881914615631,20.6950917840004,21.79136308078021,0.2809523344039917,0.3219453990459442,22.35395908355713,21.37609278001136,0.2488240748643875,0.2513200938701629,0.2592807412147522,0.2506104707717895,0.2543360888957977,0.2482347637414932,0.2501059770584106,0.2498526722192764,0.2512385249137878,0.2516027092933655,17,359145,2.0,cpu,ok,9b1dc06,2026-09-22T19:54:32
gcn_gru,42,chrono,-1,0.2513223588466644,0.3081105947494507,18.949906527996063,19.611643382567017,0.0897322222590446,0.1554220765829086,7.0636361837387085,7.58684244639896,0.105797104537487,0.1855337470769882,8.087462931871414,8.855978679926833,0.1251057982444763,0.2061576545238495,9.580210596323012,10.369186845788525,0.1626039296388626,0.2263479530811309,12.86609023809433,13.34528273003081,0.1798744052648544,0.2475898414850235,13.947799801826475,14.61746680117574,0.1917643398046493,0.2598263621330261,14.630939066410065,15.43291755646922,0.2087836861610412,0.2744054198265075,15.501965582370758,16.64148356032438,0.2446454316377639,0.2970034182071686,18.1681826710701,19.315606593115582,0.240896537899971,0.2992815971374511,17.880171537399292,18.84246095829606,0.2672643363475799,0.3149252831935882,19.618907570838928,20.710285722856053,0.2656901776790619,0.309021383523941,19.97203528881073,20.39928261634812,0.2802367806434631,0.3220029771327972,20.656462013721463,21.321394697090035,0.2838900089263916,0.3215858340263366,21.45368903875351,21.598718838414754,0.3128228187561035,0.355188637971878,23.70771914720536,23.79820051455336,0.3098478019237518,0.3604958057403564,22.63181060552597,23.572587411579832,0.31169593334198,0.3578678667545318,23.336584866046906,23.71217236618005,0.3158785104751587,0.3583298921585083,24.314211308956143,24.0301073540716,0.308999091386795,0.349864661693573,23.78542274236679,23.505918941388337,0.3039461672306061,0.344604343175888,22.921061515808105,23.122226317403925,0.3108377456665039,0.3475544154644012,23.216019570827484,23.64752418832589,0.3070058226585388,0.3437198102474212,23.36528003215789,23.35625731619696,0.2958836853504181,0.3292953968048095,22.406581044197083,22.51002356120528,0.3014503121376037,0.3460145890712738,22.90922105312348,22.93370123934744,0.3070836663246155,0.3486414551734924,22.776266932487488,23.364279040389324,0.2486196160316467,0.2507742047309875,0.256579726934433,0.2500995099544525,0.2529346942901611,0.2477727830410003,0.2498771846294403,0.2489435672760009,0.2506807446479797,0.2490315735340118,17,34072,1.3,cpu,ok,9b1dc06,2026-09-22T19:54:33
gcn_gru,43,chrono,-1,0.2527192234992981,0.3104849755764007,18.939343094825745,19.7206465969628,0.0830194652080535,0.1480414569377899,6.588835269212723,7.019280142109562,0.1189038828015327,0.176980510354042,9.564684331417084,9.953110676787231,0.1680320501327514,0.203250840306282,14.225135743618011,13.927058940783429,0.1486045271158218,0.2198982089757919,11.665211617946625,12.196319459827022,0.1652746349573135,0.2463711947202682,12.43784874677658,13.431018634209266,0.1888584047555923,0.2438583672046661,14.575909078121184,15.199051710387891,0.2181825041770935,0.2737525701522827,16.533659398555756,17.39063367898751,0.2452918887138366,0.2926592528820038,18.53649467229843,19.36664745482388,0.2416553944349289,0.3060046434402466,17.53683090209961,18.90181650986564,0.2735794484615326,0.3156819939613342,20.463615655899048,21.199642171755155,0.2756586968898773,0.3157252669334411,20.71214467287064,21.164651622370105,0.2854675054550171,0.3385391533374786,20.665231347084045,21.719367495438483,0.2989903390407562,0.3421230912208557,22.030408680438995,22.747571421044203,0.3057666420936584,0.3554586768150329,22.17907309532165,23.26139598833636,0.2856065928936004,0.3347274661064148,21.598149836063385,21.728365643971976,0.3214637041091919,0.3662346601486206,23.644264042377472,24.45525365123185,0.3280174136161804,0.3712792694568634,24.164634943008423,24.95356123699141,0.3192837238311767,0.3672338426113128,24.0464061498642,24.288283186888748,0.3043298721313476,0.3514425158500671,22.559715807437897,23.15141615238797,0.3121590316295624,0.3641260862350464,22.806835174560547,23.74804381828623,0.3013047575950622,0.3495173454284668,22.04878479242325,22.922534001550723,0.2822314202785492,0.3250399529933929,21.065686643123627,21.471397607848694,0.3031163215637207,0.3511873781681061,22.543103992938995,23.060446377893232,0.2904630303382873,0.3359356820583343,22.35152870416641,22.09970748060193,0.2500820457935333,0.2521698474884033,0.2577770054340362,0.2515750825405121,0.2542100548744201,0.2494612038135528,0.2512907981872558,0.2504797577857971,0.2520983517169952,0.2501455545425415,17,34072,1.4,cpu,ok,9b1dc06,2026-09-22T19:54:35
lstm,42,chrono,-1,0.246889054775238,0.3039408326148987,18.416287004947662,19.265696478695286,0.0782897993922233,0.1421012878417968,6.101065501570702,6.619387494117403,0.1042752638459205,0.1872482895851135,7.99671933054924,8.728589738527587,0.1298593282699585,0.2198598384857177,9.89811271429062,10.763175420063655,0.1459940373897552,0.2485414296388626,10.831574350595474,11.982070860434323,0.1700225323438644,0.2699203193187713,12.594613432884216,13.81685496406964,0.1930941492319107,0.2866847813129425,14.2821803689003,15.539938896875269,0.2184038162231445,0.3003765344619751,16.309060156345367,17.408273251697185,0.2392589896917343,0.3107149302959442,17.81136840581894,18.89032813731604,0.2578738331794739,0.3153202533721924,19.20843869447708,20.17039223554968,0.2704980671405792,0.3203226327896118,20.0811967253685,20.96086770511342,0.2799103856086731,0.3258337676525116,20.56779116392136,21.49108905249532,0.2872849702835083,0.3277503550052643,21.0659921169281,21.85764576762967,0.2928152680397033,0.33047816157341,21.5645894408226,22.277765781426336,0.298865795135498,0.3332294523715973,22.12866097688675,22.73641032328103,0.3045962750911712,0.3367927670478821,22.65344709157944,23.17306262474083,0.309403657913208,0.3408665955066681,23.01609218120575,23.53778964970335,0.3068001270294189,0.33709916472435,22.955432534217834,23.339479183878435,0.3015189170837402,0.3323240280151367,22.49366939067841,22.93689267562944,0.2928049862384796,0.3251502215862274,21.93652093410492,22.27467951808004,0.2930764555931091,0.3246738314628601,21.92329615354538,22.296302962560524,0.2887908220291137,0.3194427788257599,21.73590064048767,21.97050376821451,0.28792405128479,0.3205004036426544,21.629226207733154,21.90447573537572,0.2872463166713714,0.320278525352478,21.60128653049469,21.85309100717234,0.2867291569709778,0.3191992342472076,21.604622900485992,21.815619359996155,0.2444040477275848,0.2460026293992996,0.2524410486221313,0.2453613430261612,0.2477817386388778,0.2430196404457092,0.245398610830307,0.2439871728420257,0.2461904734373092,0.2431109100580215,17,669080,1.9,cpu,ok,9b1dc06,2026-09-22T19:54:37
lstm,43,chrono,-1,0.2489735335111618,0.2995459139347076,18.81492584943772,19.42835684788381,0.0879720225930213,0.1394968926906585,7.24225789308548,7.438017916119902,0.1190291494131088,0.1789363175630569,9.66460183262825,9.963596264694218,0.1359717547893524,0.2090706974267959,10.740619152784348,11.269794123469856,0.1625551134347915,0.2351763993501663,12.72590458393097,13.341277289823974,0.1809678375720977,0.2587644457817077,13.85069340467453,14.70632421895576,0.1999880671501159,0.2789535224437713,15.177971124649048,16.094751228268006,0.2230580300092697,0.2941005825996399,16.832254827022552,17.779246307128695,0.2460290640592575,0.3021683394908905,18.702465295791622,19.424849459693668,0.2618573307991028,0.3135645389556885,19.713816046714783,20.481974075454403,0.2748847007751465,0.3231404721736908,20.57012915611267,21.300786463367565,0.2829001545906067,0.3232893645763397,21.10716849565506,21.72063738084761,0.2890737652778625,0.3254508972167969,21.45831137895584,21.9937433669532,0.2946592271327972,0.3299051523208618,21.906863152980804,22.418056299745544,0.2995273768901825,0.3336429595947265,22.28074371814728,22.78674117269336,0.3012884557247162,0.3325226604938507,22.585703432559967,22.92141001737581,0.3023706674575805,0.3331520557403564,22.6996049284935,23.00275566246088,0.29847052693367,0.3298116624355316,22.484219074249268,22.70581447642638,0.2987168729305267,0.3299208283424377,22.46740609407425,22.72373986099641,0.2930546104907989,0.3252715766429901,22.04117774963379,22.29366876605476,0.2896037697792053,0.3203175663948059,21.83167189359665,22.032113135132413,0.2859504818916321,0.3183933794498443,21.458297967910767,21.754416397735007,0.2829173505306244,0.3152728974819183,21.3113471865654,21.5235813289902,0.2824446260929107,0.3148024976253509,21.29137367010117,21.48778816187117,0.2820740938186645,0.3155967593193054,21.413610875606537,21.461440983457425,0.2461944669485092,0.2480195015668869,0.2539890110492706,0.2477280497550964,0.2493757009506225,0.2456106692552566,0.2474465817213058,0.2467575073242187,0.2482053637504577,0.2462497353553772,17,669080,1.9,cpu,ok,9b1dc06,2026-09-22T19:54:39
