variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,WAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
zone_full_tc,42,chrono,-1,0.2508592903614044,0.2937208414077759,19.12550926208496,19.57550841732428,0.247457668185234,0.2500210106372833,0.2583715915679931,0.2492737025022506,0.2536666095256805,0.2461304366588592,0.2487828135490417,0.2482809126377105,0.2499605566263198,0.2488895207643509,17,359481,7.1,cpu,ok,2026-09-12T20:19:51
zone_full_tc,43,chrono,-1,0.2431167811155319,0.2844805419445038,18.72066259384156,18.97133160852325,0.2401609569787979,0.2424554824829101,0.2497357428073883,0.24199740588665,0.2454105913639068,0.2395867854356765,0.2410519570112228,0.2409414052963256,0.2423572391271591,0.2407728284597396,17,359481,6.8,cpu,ok,2026-09-12T20:19:58
zone_full_tc,44,chrono,-1,0.2514706552028656,0.3033411204814911,19.370852410793304,19.623217208221007,0.2488463819026947,0.2514351904392242,0.257422000169754,0.2514250874519348,0.2543508410453796,0.2488517761230468,0.2491761595010757,0.2488909512758255,0.2508851289749145,0.2469167113304138,18,359481,7.7,cpu,ok,2026-09-12T20:20:06
zone_full_tc,45,chrono,-1,0.2557325065135956,0.3128187954425812,19.703175127506256,19.95578583331436,0.2535935640335083,0.2554324865341186,0.2595800161361694,0.2549220323562622,0.2564377784729004,0.2524996697902679,0.2547318935394287,0.2523949742317199,0.2552888989448547,0.252874344587326,18,359481,8.1,cpu,ok,2026-09-12T20:20:14
zone_full_tc,46,chrono,-1,0.2482707053422927,0.2930123805999756,19.07338351011276,19.37351255287765,0.2444766014814376,0.2475759387016296,0.2574435770511627,0.2463559657335281,0.2522471249103546,0.2431540191173553,0.2456606179475784,0.2458714246749878,0.2473266571760177,0.2464861571788787,17,359481,8.6,cpu,ok,2026-09-12T20:20:22
zone_full_sinc,42,chrono,-1,0.2505305409431457,0.3022693395614624,19.940127432346344,19.549856691592808,0.2474558055400848,0.2500470876693725,0.2579930424690246,0.24986132979393,0.2539460659027099,0.2469343245029449,0.2483965009450912,0.248030811548233,0.2497464269399643,0.250402957201004,18,362121,7.9,cpu,ok,2026-09-12T20:20:30
zone_full_sinc,43,chrono,-1,0.2505912780761719,0.2942831218242645,19.32175904512405,19.55459575532476,0.247429147362709,0.2501790225505829,0.2579500675201416,0.2492470890283584,0.2536193430423736,0.2467351853847503,0.2484966665506363,0.2480277568101883,0.2498206049203872,0.2489457428455352,17,362121,7.3,cpu,ok,2026-09-12T20:20:38
zone_full_sinc,44,chrono,-1,0.2471266984939575,0.2944840490818023,18.79497766494751,19.28424119168245,0.2446908503770828,0.2467429339885711,0.2508978545665741,0.2460544556379318,0.2474313676357269,0.2434800118207931,0.246063157916069,0.2442201524972915,0.2465670257806778,0.2428271174430847,17,362121,7.3,cpu,ok,2026-09-12T20:20:45
zone_full_sinc,45,chrono,-1,0.251280128955841,0.3021151721477508,19.57462728023529,19.6083494641882,0.2487691938877105,0.2507573068141937,0.2554022967815399,0.2501239478588104,0.2520037889480591,0.2477980852127075,0.2501164674758911,0.2489239275455474,0.2507134675979614,0.2511026263236999,18,362121,8.4,cpu,ok,2026-09-12T20:20:53
zone_full_sinc,46,chrono,-1,0.2552274167537689,0.2958770990371704,20.17746418714524,19.91637119537536,0.2524084746837616,0.2548573017120361,0.262272447347641,0.2541837394237518,0.2575482130050659,0.2523534595966339,0.2530385851860046,0.2524832487106323,0.2544998824596405,0.2525126934051513,17,362121,7.5,cpu,ok,2026-09-12T20:21:01
