zone_type,n_nodes,baseline_ahgnn,zone_concat,zone_weight,zone_full
commercial,13,0.2057177275419235,0.0948009863495826,0.1004629954695701,0.0783100575208664
residential,13,0.2129901498556137,0.0977299436926841,0.1048060208559036,0.0801134184002876
industrial,3,0.2785044312477112,0.1122612431645393,0.1360914856195449,0.0819670930504798
school,8,0.2294493615627288,0.0932877734303474,0.1003502607345581,0.0780010819435119
university,4,0.2333312630653381,0.1049891337752342,0.116351842880249,0.0802338272333145
hospital,4,0.2406947463750839,0.0990126058459281,0.10831880569458,0.0790670290589332
transport,10,0.1909768730401992,0.0939940884709358,0.0988898128271102,0.0789708644151687
park,4,0.1662927567958831,0.089934229850769,0.097036525607109,0.0764715746045112
