variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
zone_weight,42,random_fixed,42,0.0915865153074264,0.1512466818094253,6.669732183218002,0.0908607468008995,0.0922796502709388,0.11056699603796,0.0882639810442924,0.1006638258695602,0.0991175025701522,0.0885372683405876,0.0872843489050865,0.0919936895370483,0.0962939336895942,89,358452,8.9,cpu,ok,2026-08-22T00:01:39
zone_weight,43,random_fixed,42,0.0798961818218231,0.1359022557735443,5.946814641356468,0.0775211825966835,0.0819213166832923,0.0989985018968582,0.0778150558471679,0.0923468321561813,0.0843743905425071,0.0754254460334777,0.0736117288470268,0.0799104645848274,0.0869557484984397,100,358452,9.6,cpu,ok,2026-08-22T00:01:49
zone_weight,44,random_fixed,42,0.1017050743103027,0.163919910788536,7.436017692089081,0.098571129143238,0.1035290285944938,0.1292598396539688,0.1060194820165634,0.1201719865202903,0.1052468493580818,0.0938492268323898,0.097528226673603,0.1010323837399482,0.1143552511930465,76,358452,7.8,cpu,ok,2026-08-22T00:01:57
zone_weight,45,random_fixed,42,0.1034646704792976,0.168423056602478,7.5591400265693665,0.1006010249257087,0.1050242781639099,0.1324571967124939,0.1061088368296623,0.1221414431929588,0.1079440116882324,0.0962778851389885,0.0949612408876419,0.1030870229005813,0.1088917180895805,66,358452,6.7,cpu,ok,2026-08-22T00:02:04
zone_weight,46,random_fixed,42,0.0808003991842269,0.134710893034935,6.084297224879265,0.0801335796713829,0.0820145905017852,0.0956708788871765,0.080230176448822,0.0901193618774414,0.0856056809425354,0.076971985399723,0.0764272063970565,0.0809121131896972,0.0851687714457511,98,358452,9.7,cpu,ok,2026-08-22T00:02:13
zone_full,42,random_fixed,42,0.0794487670063972,0.1311032176017761,6.019039079546928,0.0783523172140121,0.0811485797166824,0.0883294120430946,0.0792469158768653,0.084621638059616,0.0810519307851791,0.0768043473362922,0.0766144916415214,0.0795386657118797,0.0836794227361679,100,358452,9.9,cpu,ok,2026-08-22T00:02:23
zone_full,43,random_fixed,42,0.0777226164937019,0.1316180974245071,5.850939452648163,0.0760905817151069,0.0795356482267379,0.0935535579919815,0.0775008872151374,0.086615540087223,0.0819641798734664,0.0737343952059745,0.0743027552962303,0.0774326100945472,0.0838297829031944,94,358452,9.5,cpu,ok,2026-08-22T00:02:33
zone_full,44,random_fixed,42,0.0995645076036453,0.1574694514274597,7.468254864215851,0.0973482728004455,0.1004351302981376,0.1231574714183807,0.1019753962755203,0.1120661050081253,0.1052956581115722,0.0938611179590225,0.0942495986819267,0.0989667847752571,0.1070922389626503,100,358452,10.4,cpu,ok,2026-08-22T00:02:43
zone_full,45,random_fixed,42,0.0956951230764389,0.1548928171396255,7.066033035516739,0.0930094271898269,0.0967524349689483,0.1217749416828155,0.0952705740928649,0.1093609929084777,0.1007284745573997,0.0897512510418891,0.0877164006233215,0.0951127558946609,0.1063148900866508,100,358452,9.7,cpu,ok,2026-08-22T00:02:53
zone_full,46,random_fixed,42,0.0793574973940849,0.1339077800512313,6.054256111383438,0.0779319405555725,0.0811918750405311,0.0906510129570961,0.0784236341714859,0.0850530266761779,0.0821397379040718,0.0769475325942039,0.0739509314298629,0.0794115737080574,0.0833537131547927,100,358452,9.8,cpu,ok,2026-08-22T00:03:03
