split_mode,metric,baseline,proposed,n_seeds,baseline_mean,baseline_std,proposed_mean,proposed_std,improvement_abs,improvement_pct,ci95_low,ci95_high,ci_excludes_zero,wins,t_paired,p_paired_2sided,p_paired_1sided,t_welch,p_welch_2sided,p_welch_1sided,p_wilcoxon_2sided,p_wilcoxon_1sided,p_floor_wilcoxon_2sided,cohens_dz_paired,hedges_g_indep,recommended_test,p_paired_holm,p_welch_holm,p_recommended,p_recommended_holm,significant_holm
random_fixed,MAE,gcn_gru,zone_full_tc,10,0.09357204809784885,0.0017470723755295323,0.08236321806907648,0.007665259884260174,0.011208830028772359,11.978823010319513,0.006125249698055489,0.01629241035948923,True,9,4.987849800063917,0.0007513327758766168,0.0003756663879383084,4.508543699683556,0.0011474633315596292,0.0005737316657798146,0.005859375,0.0029296875,0.001953125,1.5772965995017443,1.9310870226969474,welch,0.0015026655517532336,0.0022949266631192584,0.0011474633315596292,0.0022949266631192584,True
random_fixed,RMSE,gcn_gru,zone_full_tc,10,0.16507362723350522,0.0037276200331455667,0.1399205103516578,0.011314347603288356,0.025153116881847393,15.237513892068904,0.016877096749208453,0.03342913701448633,True,9,6.875322027863165,7.264434310868596e-05,3.632217155434298e-05,6.677069571344723,3.5902595414770605e-05,1.7951297707385302e-05,0.00390625,0.001953125,0.001953125,2.1741677255175245,2.8599040527817143,welch,0.00023921100220443878,0.00010770778624431181,3.5902595414770605e-05,0.00010770778624431181,True
random_fixed,MAPE,gcn_gru,zone_full_tc,10,6.604733243584633,0.16617274736469353,6.170578375458717,0.5361346030258362,0.4341548681259155,6.5733899025766505,0.05700796031870359,0.8113017759331275,True,8,2.604095444942076,0.028545843934417975,0.014272921967208987,2.445977099749055,0.03301350002819545,0.016506750014097724,0.02734375,0.013671875,0.001953125,0.8234872850486563,1.0476541761080946,welch,0.028545843934417975,0.03301350002819545,0.03301350002819545,0.03301350002819545,True
random_fixed,MAE,gcn_gru,zone_full_sinc,10,0.09357204809784885,0.0017470723755295323,0.08011106029152866,0.0038138682125331332,0.01346098780632019,14.385693249167696,0.010813529882002815,0.016108445730637563,True,10,11.501927832246103,1.1039472390011264e-06,5.519736195005632e-07,10.147220381006742,1.9758290160931295e-07,9.879145080465648e-08,0.001953125,0.0009765625,0.001953125,3.6372289432780764,4.346229492149191,welch,5.519736195005632e-06,9.879145080465648e-07,1.9758290160931295e-07,9.879145080465648e-07,True
random_fixed,RMSE,gcn_gru,zone_full_sinc,10,0.16507362723350522,0.0037276200331455667,0.13643457591533656,0.005109727488049598,0.028639051318168636,17.34925911433279,0.023977418234883162,0.03330068440145411,True,10,13.897712221803603,2.1849393274177353e-07,1.0924696637088676e-07,14.318726318159808,1.021244110981319e-10,5.106220554906595e-11,0.001953125,0.0009765625,0.001953125,4.394842488645859,6.132957428468174,welch,1.3109635964506411e-06,6.127464665887914e-10,1.021244110981319e-10,6.127464665887914e-10,True
random_fixed,MAPE,gcn_gru,zone_full_sinc,10,6.604733243584633,0.16617274736469353,5.989342965185642,0.26487353237695727,0.6153902783989906,9.31741306882813,0.4179521306194331,0.8128284261785481,True,10,7.0508639888121705,5.9802750551109694e-05,2.9901375275554847e-05,6.223644545814618,1.5655552556690773e-05,7.827776278345387e-06,0.001953125,0.0009765625,0.001953125,2.229678967670644,2.6656942944003825,welch,0.00023921100220443878,6.262221022676309e-05,1.5655552556690773e-05,6.262221022676309e-05,True
random_paired,MAE,gcn_gru,zone_full_tc,10,0.09409108087420459,0.008512965023569026,0.08738961964845654,0.009952258044264063,0.006701461225748062,7.122312937086571,0.001026441035537078,0.012376481415959047,True,7,2.671313582141954,0.02556736607830975,0.012783683039154874,1.6181345832879437,0.12343630424563481,0.06171815212281741,0.048828125,0.0244140625,0.001953125,0.8447435264111869,0.6930749490093221,paired,0.07670209823492924,0.37030891273690447,0.02556736607830975,0.07670209823492924,False
random_paired,RMSE,gcn_gru,zone_full_tc,10,0.17913314700126642,0.01392430725850137,0.150623919814825,0.016209378470306783,0.028509227186441423,15.915104302968489,0.020540186483933916,0.03647826788894893,True,10,8.092862728804594,2.0182762264230554e-05,1.0091381132115277e-05,4.218937482369096,0.0005392860530432285,0.00026964302652161424,0.001953125,0.0009765625,0.001953125,2.559187901410808,1.8070436851581413,paired,0.00010091381132115277,0.0026964302652161425,2.0182762264230554e-05,0.00010091381132115277,True
random_paired,MAPE,gcn_gru,zone_full_tc,10,6.647396869957447,0.6660881090621374,6.5581294894218445,0.7284832350728815,0.08926738053560257,1.342892297269653,-0.2991468857432717,0.47768164681447683,False,5,0.519900688039763,0.6156773152434898,0.3078386576217449,0.2859781167053584,0.7781858751505721,0.38909293757528607,0.625,0.3125,0.001953125,0.1644070331294312,0.12248935947627429,paired,0.6156773152434898,0.7781858751505721,0.6156773152434898,0.6156773152434898,False
random_paired,MAE,gcn_gru,zone_full_sinc,10,0.09409108087420459,0.008512965023569026,0.08405096605420107,0.010936844030497854,0.010040114820003523,10.670633950338704,0.004859719231769473,0.015220510408237572,True,8,4.384282487417105,0.0017601227081634745,0.0008800613540817373,2.2908244283910286,0.03504069639546142,0.01752034819773071,0.009765625,0.0048828125,0.001953125,1.3864318565826563,0.981199611141301,paired,0.007040490832653898,0.14016278558184567,0.0017601227081634745,0.007040490832653898,True
random_paired,RMSE,gcn_gru,zone_full_sinc,10,0.17913314700126642,0.01392430725850137,0.14766954556107517,0.01670147721033988,0.031463601440191294,17.56436592942168,0.02542075545817881,0.03750644742220378,True,10,11.778491720163391,9.022804590199415e-07,4.5114022950997073e-07,4.575703838783189,0.00025285006307991704,0.00012642503153995852,0.001953125,0.0009765625,0.001953125,3.7246861237150917,1.9598528685435623,paired,5.413682754119649e-06,0.0015171003784795023,9.022804590199415e-07,5.413682754119649e-06,True
random_paired,MAPE,gcn_gru,zone_full_sinc,10,6.647396869957447,0.6660881090621374,6.2765442207455635,0.7470524101023206,0.37085264921188343,5.578915423087374,-0.06596762083045782,0.8076729192542247,False,7,1.9205312442942135,0.08698244239466088,0.04349122119733044,1.1717080044345511,0.2567869434956063,0.12839347174780316,0.130859375,0.0654296875,0.001953125,0.6073253049486972,0.5018627460375976,paired,0.17396488478932176,0.5135738869912126,0.08698244239466088,0.17396488478932176,False
