T_out,variant,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,n_params
3,zone_full_tc,0.08612047880887985,0.14410477876663208,6.37170672416687,0.08386463671922684,0.08820366114377975,0.10623902827501297,0.08387399464845657,0.09811140596866608,0.09075654298067093,0.0807361826300621,0.0807468369603157,0.08612699806690216,358788
3,zone_full_sinc,0.08292525261640549,0.1448335200548172,6.1448834836483,0.0822116881608963,0.0843101516366005,0.09207127243280411,0.08353592455387115,0.0902201235294342,0.0869794487953186,0.08063050359487534,0.07907398045063019,0.08329085260629654,361428
3,gcn_gru,0.09560653567314148,0.16792303323745728,6.618545204401016,0.092096708714962,0.09677740931510925,0.12308520823717117,0.0942358449101448,0.11169938743114471,0.09861069172620773,0.08949100226163864,0.08849847316741943,0.09506218135356903,32707
3,stgcn,0.09313740581274033,0.1616216003894806,6.658454239368439,0.09065117686986923,0.09303759783506393,0.1163424402475357,0.08758760988712311,0.10400388389825821,0.09575299173593521,0.08956119418144226,0.08714628964662552,0.09283134341239929,32579
6,zone_full_tc,0.11961773782968521,0.20039185881614685,8.467938750982285,0.11681012064218521,0.12262102961540222,0.14463122189044952,0.12258248031139374,0.13784413039684296,0.12354517728090286,0.1128474697470665,0.11347605288028717,0.11941840499639511,358887
6,zone_full_sinc,0.10995951294898987,0.19324840605258942,7.730363309383392,0.10821032524108887,0.11329763382673264,0.1303756833076477,0.11392495036125183,0.12468970566987991,0.11574655771255493,0.10370694100856781,0.10503581911325455,0.11003989726305008,361527
6,gcn_gru,0.13209982216358185,0.22164969146251678,9.127254784107208,0.12893584370613098,0.13508817553520203,0.16023406386375427,0.13281433284282684,0.15148423612117767,0.1364591121673584,0.1250854730606079,0.12557747960090637,0.13197042047977448,32902
6,stgcn,0.13594193756580353,0.23255041241645813,9.37984511256218,0.13201089203357697,0.1384718120098114,0.1706356555223465,0.14179052412509918,0.1607455015182495,0.14280666410923004,0.12647008895874023,0.12866471707820892,0.13529770076274872,32774
9,zone_full_tc,0.16108235716819763,0.24492792785167694,12.462320923805237,0.15807922184467316,0.16416949033737183,0.18359646201133728,0.16632179915905,0.17973829805850983,0.1667129546403885,0.15412479639053345,0.1551256775856018,0.16108626127243042,358986
9,zone_full_sinc,0.14797113835811615,0.23575229942798615,11.430704593658447,0.1457005888223648,0.149708554148674,0.16838854551315308,0.15206575393676758,0.16272029280662537,0.15203805267810822,0.14165078103542328,0.14306941628456116,0.14774072170257568,361626
9,gcn_gru,0.15702994167804718,0.22611726820468903,12.096860259771347,0.1547498255968094,0.1584276705980301,0.1757325828075409,0.16027487814426422,0.17061789333820343,0.1601954847574234,0.15179917216300964,0.15212242305278778,0.15668773651123047,33097
9,stgcn,0.15104874968528748,0.2230004519224167,11.61511167883873,0.1487022340297699,0.15202999114990234,0.169806569814682,0.1536371409893036,0.16369114816188812,0.15407952666282654,0.14602963626384735,0.1460147500038147,0.15061555802822113,32969
12,zone_full_tc,0.17732909321784973,0.265209436416626,13.138453662395477,0.17412294447422028,0.1824570745229721,0.2021222710609436,0.18596656620502472,0.2013131082057953,0.1840151697397232,0.1677812784910202,0.17383186519145966,0.17742586135864258,359085
12,zone_full_sinc,0.15816575288772583,0.22457005083560944,12.271451205015182,0.15512757003307343,0.16200204193592072,0.18056952953338623,0.16190297901630402,0.17599332332611084,0.16022786498069763,0.1515558362007141,0.1506505310535431,0.15803547203540802,361725
12,gcn_gru,0.1643015295267105,0.24400590360164642,12.22229152917862,0.16227790713310242,0.1674516797065735,0.18101604282855988,0.16923165321350098,0.17897525429725647,0.16755355894565582,0.1587062031030655,0.15990696847438812,0.16427522897720337,33292
12,stgcn,0.16583913564682007,0.2393234223127365,12.787021696567535,0.16436263918876648,0.16832323372364044,0.17957380414009094,0.16809241473674774,0.17672787606716156,0.16905450820922852,0.16170634329319,0.16174562275409698,0.16593216359615326,33164
18,zone_full_tc,0.21902425587177277,0.3208860158920288,15.299426019191742,0.21467186510562897,0.22430384159088135,0.2624855935573578,0.2352636307477951,0.253458172082901,0.23335929214954376,0.20491530001163483,0.20795457065105438,0.21840912103652954,359283
18,zone_full_sinc,0.18540941178798676,0.2691340148448944,13.254286348819733,0.17984946072101593,0.18994878232479095,0.22839753329753876,0.19721022248268127,0.21935346722602844,0.19407136738300323,0.1716359257698059,0.17723660171031952,0.1845526546239853,361923
18,gcn_gru,0.1972368210554123,0.27068185806274414,14.345958828926086,0.19206443428993225,0.20143410563468933,0.2421375811100006,0.21161679923534393,0.2327796220779419,0.20743615925312042,0.18299859762191772,0.18725258111953735,0.19630660116672516,33682
18,stgcn,0.19675815105438232,0.2942863404750824,13.748423755168915,0.1915035843849182,0.2010127753019333,0.24197031557559967,0.21142935752868652,0.23263199627399445,0.20713907480239868,0.1822662055492401,0.18669268488883972,0.19583475589752197,33554
24,zone_full_tc,0.22513306140899658,0.3111134171485901,16.084907948970795,0.21895146369934082,0.2295616716146469,0.27352088689804077,0.24118590354919434,0.26390472054481506,0.23615723848342896,0.20943017303943634,0.2149655669927597,0.2240898311138153,359481
24,zone_full_sinc,0.19338908791542053,0.2760258913040161,13.824203610420227,0.18883845210075378,0.19696062803268433,0.23478981852531433,0.2054848074913025,0.22513476014137268,0.20310449600219727,0.18063943088054657,0.1848631054162979,0.19266144931316376,362121
24,gcn_gru,0.19089236855506897,0.27090373635292053,13.83245438337326,0.18594829738140106,0.1949530392885208,0.23471403121948242,0.2046072781085968,0.2252224087715149,0.20100758969783783,0.1771089732646942,0.1810985654592514,0.19001515209674835,34072
24,stgcn,0.21348707377910614,0.30167433619499207,15.244172513484955,0.20830857753753662,0.21734458208084106,0.25876834988594055,0.22819116711616516,0.249051034450531,0.22365492582321167,0.19917230308055878,0.2034974992275238,0.21250209212303162,33944
